X,Y,Z
0.17,0.169,0.212
0.17,0.169,0.212
0.17,0.169,0.212
0.17,0.169,0.212
0.17,0.169,0.212
0.167,0.185,0.205
0.167,0.185,0.205
0.167,0.185,0.205
0.167,0.185,0.205
0.167,0.185,0.205
0.184,0.182,0.23
0.184,0.182,0.23
0.184,0.182,0.23
0.184,0.182,0.23
0.184,0.182,0.23
0.177,0.187,0.225
0.177,0.187,0.225
0.177,0.187,0.225
0.177,0.187,0.225
0.177,0.187,0.225
0.175,0.17,0.221
0.175,0.17,0.221
0.175,0.17,0.221
0.175,0.17,0.221
0.175,0.17,0.221
0.177,0.177,0.231
0.177,0.177,0.231
0.177,0.177,0.231
0.177,0.177,0.231
0.177,0.177,0.231
0.163,0.178,0.211
0.163,0.178,0.211
0.163,0.178,0.211
0.163,0.178,0.211
0.163,0.178,0.211
0.174,0.177,0.214
0.174,0.177,0.214
0.174,0.177,0.214
0.174,0.177,0.214
0.174,0.177,0.214
0.167,0.182,0.205
0.167,0.182,0.205
0.167,0.182,0.205
0.167,0.182,0.205
0.167,0.182,0.205
0.188,0.194,0.225
0.188,0.194,0.225
0.188,0.194,0.225
0.188,0.194,0.225
0.188,0.194,0.225
0.196,0.196,0.227
0.196,0.196,0.227
0.196,0.196,0.227
0.196,0.196,0.227
0.196,0.196,0.227
0.185,0.182,0.211
0.185,0.182,0.211
0.185,0.182,0.211
0.185,0.182,0.211
0.185,0.182,0.211
0.171,0.171,0.224
0.171,0.171,0.224
0.171,0.171,0.224
0.171,0.171,0.224
0.171,0.171,0.224
0.156,0.178,0.211
0.156,0.178,0.211
0.156,0.178,0.211
0.156,0.178,0.211
0.156,0.178,0.211
0.179,0.192,0.225
0.179,0.192,0.225
0.179,0.192,0.225
0.179,0.192,0.225
0.179,0.192,0.225
0.176,0.185,0.21
0.176,0.185,0.21
0.176,0.185,0.21
0.176,0.185,0.21
0.176,0.185,0.21
0.17,0.174,0.233
0.17,0.174,0.233
0.17,0.174,0.233
0.17,0.174,0.233
0.17,0.174,0.233
0.17,0.183,0.223
0.17,0.183,0.223
0.17,0.183,0.223
0.17,0.183,0.223
0.17,0.183,0.223
0.156,0.178,0.214
0.156,0.178,0.214
0.156,0.178,0.214
0.156,0.178,0.214
0.156,0.178,0.214
0.186,0.193,0.23
0.186,0.193,0.23
0.186,0.193,0.23
0.186,0.193,0.23
0.186,0.193,0.23
0.184,0.177,0.204
0.184,0.177,0.204
0.184,0.177,0.204
0.184,0.177,0.204
0.184,0.177,0.204
0.196,0.186,0.222
0.196,0.186,0.222
0.196,0.186,0.222
0.196,0.186,0.222
0.196,0.186,0.222
0.187,0.192,0.217
0.187,0.192,0.217
0.187,0.192,0.217
0.187,0.192,0.217
0.187,0.192,0.217
0.174,0.177,0.219
0.174,0.177,0.219
0.174,0.177,0.219
0.174,0.177,0.219
0.174,0.177,0.219
0.189,0.191,0.203
0.189,0.191,0.203
0.189,0.191,0.203
0.189,0.191,0.203
0.189,0.191,0.203
0.175,0.171,0.206
0.175,0.171,0.206
0.175,0.171,0.206
0.175,0.171,0.206
0.175,0.171,0.206
0.164,0.179,0.227
0.164,0.179,0.227
0.164,0.179,0.227
0.164,0.179,0.227
0.164,0.179,0.227
0.167,0.175,0.213
0.167,0.175,0.213
0.167,0.175,0.213
0.167,0.175,0.213
0.167,0.175,0.213
0.173,0.175,0.224
0.173,0.175,0.224
0.173,0.175,0.224
0.173,0.175,0.224
0.173,0.175,0.224
0.166,0.179,0.218
0.166,0.179,0.218
0.166,0.179,0.218
0.166,0.179,0.218
0.166,0.179,0.218
0.181,0.178,0.208
0.181,0.178,0.208
0.181,0.178,0.208
0.181,0.178,0.208
0.181,0.178,0.208
0.199,0.199,0.207
0.199,0.199,0.207
0.199,0.199,0.207
0.199,0.199,0.207
0.199,0.199,0.207
0.185,0.185,0.206
0.185,0.185,0.206
0.185,0.185,0.206
0.185,0.185,0.206
0.185,0.185,0.206
0.174,0.179,0.216
0.174,0.179,0.216
0.174,0.179,0.216
0.174,0.179,0.216
0.174,0.179,0.216
0.164,0.161,0.197
0.164,0.161,0.197
0.164,0.161,0.197
0.164,0.161,0.197
0.164,0.161,0.197
0.167,0.182,0.223
0.167,0.182,0.223
0.167,0.182,0.223
0.167,0.182,0.223
0.167,0.182,0.223
0.172,0.185,0.218
0.172,0.185,0.218
0.172,0.185,0.218
0.172,0.185,0.218
0.172,0.185,0.218
0.168,0.169,0.227
0.168,0.169,0.227
0.168,0.169,0.227
0.168,0.169,0.227
0.168,0.169,0.227
0.171,0.184,0.23
0.171,0.184,0.23
0.171,0.184,0.23
0.171,0.184,0.23
0.171,0.184,0.23
0.169,0.175,0.216
0.169,0.175,0.216
0.169,0.175,0.216
0.169,0.175,0.216
0.169,0.175,0.216
0.16,0.18,0.232
0.16,0.18,0.232
0.16,0.18,0.232
0.16,0.18,0.232
0.16,0.18,0.232
0.157,0.177,0.215
0.157,0.177,0.215
0.157,0.177,0.215
0.157,0.177,0.215
0.157,0.177,0.215
0.16,0.182,0.214
0.16,0.182,0.214
0.16,0.182,0.214
0.16,0.182,0.214
0.16,0.182,0.214
0.168,0.175,0.212
0.168,0.175,0.212
0.168,0.175,0.212
0.168,0.175,0.212
0.168,0.175,0.212
0.162,0.173,0.211
0.162,0.173,0.211
0.162,0.173,0.211
0.162,0.173,0.211
0.162,0.173,0.211
0.169,0.18,0.222
0.169,0.18,0.222
0.169,0.18,0.222
0.169,0.18,0.222
0.169,0.18,0.222
0.166,0.162,0.205
0.166,0.162,0.205
0.166,0.162,0.205
0.166,0.162,0.205
0.166,0.162,0.205
0.163,0.181,0.22
0.163,0.181,0.22
0.163,0.181,0.22
0.163,0.181,0.22
0.163,0.181,0.22
0.167,0.186,0.21
