X1,X2,X3,X4,X5,X6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6,Label
10.573,4.9662,23.377,17.603,41.67,37.113,0.019,0.019,0.019,0.019,0.019,0.019,0.024,0.024,0.024,0.024,0.024,0.027,1
28.002,5.8758,35.25,31.73,36.335,18.976,0.019,0.019,0.019,0.019,0.019,0.019,0.024,0.024,0.024,0.024,0.027,0.027,1
15.457,6.5359,19.511,15.213,27.166,28.849,0.019,0.019,0.019,0.019,0.019,0.019,0.024,0.024,0.024,0.027,0.027,0.027,1
8.46,36.49,14.318,25.193,21.37,27.086,0.019,0.019,0.019,0.019,0.019,0.019,0.024,0.024,0.027,0.027,0.027,0.027,1
11.772,42.595,4.3713,37.928,13.671,25.168,0.019,0.019,0.019,0.019,0.019,0.019,0.024,0.027,0.027,0.027,0.027,0.027,1
40.567,31.653,31.213,28.014,34.532,14.408,0.019,0.019,0.019,0.019,0.019,0.019,0.027,0.027,0.027,0.027,0.027,0.029,1
5.8153,8.3739,20.928,16.95,12.45,13.292,0.019,0.019,0.019,0.019,0.019,0.019,0.027,0.027,0.027,0.027,0.029,0.029,1
13.033,33.299,21.863,15.427,5.5087,21.859,0.019,0.019,0.019,0.019,0.019,0.019,0.027,0.027,0.027,0.029,0.029,0.029,1
5.0684,7.4569,28.536,21.899,35.181,12.409,0.019,0.019,0.019,0.019,0.019,0.019,0.027,0.027,0.029,0.029,0.029,0.029,1
21.441,7.7582,5.3068,20.636,31.125,36.748,0.019,0.019,0.019,0.019,0.019,0.019,0.027,0.029,0.029,0.029,0.029,0.029,1
3.3606,29.838,16.127,17.975,32.982,44.414,0.019,0.019,0.019,0.019,0.019,0.018,0.029,0.029,0.029,0.029,0.029,0.027,1
40.661,16.676,35.409,26.361,29.895,4.0657,0.019,0.019,0.019,0.019,0.018,0.018,0.029,0.029,0.029,0.029,0.027,0.027,1
11.099,30.391,32.189,34.135,20.484,25.405,0.019,0.019,0.019,0.018,0.018,0.018,0.029,0.029,0.029,0.027,0.027,0.027,1
6.7402,34.413,8.089,20.707,19.29,6.4747,0.019,0.019,0.018,0.018,0.018,0.018,0.029,0.029,0.027,0.027,0.027,0.027,1
15.771,27.41,8.2924,20.919,37.241,36.648,0.019,0.018,0.018,0.018,0.018,0.018,0.029,0.027,0.027,0.027,0.027,0.027,1
22.046,34.029,6.6973,8.0696,16.195,44.542,0.018,0.018,0.018,0.018,0.018,0.016,0.027,0.027,0.027,0.027,0.027,0.025,1
7.0904,12.71,3.13,3.8311,37.174,5.6251,0.018,0.018,0.018,0.018,0.016,0.016,0.027,0.027,0.027,0.027,0.025,0.025,1
44.805,33.815,20.655,15.046,36.099,42.443,0.018,0.018,0.018,0.016,0.016,0.016,0.027,0.027,0.027,0.025,0.025,0.025,1
16.814,43.759,30.465,16.199,38.766,3.5671,0.018,0.018,0.016,0.016,0.016,0.016,0.027,0.027,0.025,0.025,0.025,0.025,1
15.348,39.384,33.307,30.386,24.138,31.658,0.018,0.016,0.016,0.016,0.016,0.016,0.027,0.025,0.025,0.025,0.025,0.025,1
5.4183,6.4391,25.217,43.183,29.625,35.874,0.016,0.016,0.016,0.016,0.016,0.017,0.025,0.025,0.025,0.025,0.025,0.022,1
15.386,18.264,7.3921,42.288,42.928,25.341,0.016,0.016,0.016,0.016,0.017,0.017,0.025,0.025,0.025,0.025,0.022,0.022,1
4.756,18.38,29.461,22.123,21.535,40.162,0.016,0.016,0.016,0.017,0.017,0.017,0.025,0.025,0.025,0.022,0.022,0.022,1
24.129,31.708,8.1383,12.948,5.3328,40.738,0.016,0.016,0.017,0.017,0.017,0.017,0.025,0.025,0.022,0.022,0.022,0.022,1
34.932,28.033,8.4676,35.036,39.377,29.215,0.016,0.017,0.017,0.017,0.017,0.017,0.025,0.022,0.022,0.022,0.022,0.022,1
29.431,36.111,6.9607,34.844,29.436,8.6181,0.017,0.017,0.017,0.017,0.017,0.02,0.022,0.022,0.022,0.022,0.022,0.019,1
6.5934,18.315,8.7935,34.055,17.784,11.991,0.017,0.017,0.017,0.017,0.02,0.02,0.022,0.022,0.022,0.022,0.019,0.019,1
6.2124,11.494,9.9002,34.184,44.874,10.486,0.017,0.017,0.017,0.02,0.02,0.02,0.022,0.022,0.022,0.019,0.019,0.019,1
35.6,6.4573,11.082,7.2698,12.26,4.5648,0.017,0.017,0.02,0.02,0.02,0.02,0.022,0.022,0.019,0.019,0.019,0.019,1
40.997,35.376,16.198,31.562,30.333,7.3129,0.017,0.02,0.02,0.02,0.02,0.02,0.022,0.019,0.019,0.019,0.019,0.019,1
25.325,11.479,16.153,22.35,28.331,28.814,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.019,0.022,1
7.4063,19.185,11.981,11.753,19.142,42.454,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.022,0.022,1
37.649,26.085,13.394,6.9575,8.8003,17.758,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.022,0.022,0.022,1
17.068,12.462,40.481,37.555,3.8607,20.129,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.022,0.022,0.022,0.022,1
15.206,29.89,32.476,10.185,20.571,44.34,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.022,0.022,0.022,0.022,0.022,1
34.294,23.245,26.252,9.7027,10.569,42.703,0.02,0.02,0.02,0.02,0.02,0.017,0.022,0.022,0.022,0.022,0.022,0.023,1
3.2362,9.2079,10.583,30.905,33.428,31.354,0.02,0.02,0.02,0.02,0.017,0.017,0.022,0.022,0.022,0.022,0.023,0.023,1
